flashpoint_id,label,anchor_zone_id,board_start,board_end,run_start,run_end,radius_km,blurb
williamsport-2015-01-16,"Williamsport, Pennsylvania",2028516,2015-01-16,2015-01-16,2014-12-19,2015-02-13,48.28032,"132 active players and 9821 launches, the third of only four reports extreme in both."
breda-2017-05-15,"Breda, Netherlands",2498465,2017-05-15,2017-05-15,2017-04-17,2017-06-12,48.28032,"153 active players and 11649 launches, a week before the biggest day on record."
chermignac-2017-05-22,"Chermignac, France",2223325,2017-05-22,2017-05-22,2017-04-24,2017-06-19,48.28032,"The largest battle in the record: 201 active players, 17885 launches, 71.2M bots lost."
south-whittier-2017-05-22,"South Whittier, California",1597701,2017-05-22,2017-05-22,2017-04-24,2017-06-19,48.28032,"149 active players, on the same day as Chermignac and 9000 km from it."
canterbury-2019-06-11,"Canterbury, Kent",2487820,2019-06-07,2019-06-11,2019-05-10,2019-07-09,48.28032,"The only six-zone region-day in the record, reached over five days down the Thames estuary."
dartford-2019-07-16,"Dartford, Kent",2491863,2019-07-14,2019-07-16,2019-06-16,2019-08-13,48.28032,"The tightest region-day ever measured: five of the world's ten inside 10.9 km."
marquette-2022-03-27,"Marquette, Michigan",2254617,2022-03-27,2022-03-27,2022-02-27,2022-04-24,48.28032,"Five zones inside 25.8 km lost 27.8M bots in a day, and took the neighborhood with them."
hebron-2023-12-22,"Hebron, Texas",1543200,2023-12-22,2023-12-22,2023-11-24,2024-01-19,48.28032,"Hebron's only three-neighbor day, and a one-day hole in an otherwise growing area."
dallas-2024-03-25,"Dallas, Texas",1529645,2024-03-25,2024-03-25,2024-02-26,2024-04-22,48.28032,"The sixth largest report ever, 12.5M bots sent, and no territorial consequence at all."
adelaide-2024-09-12,"Adelaide Hills, South Australia",9224,2024-09-12,2024-09-14,2024-08-20,2024-10-17,48.28032,"Three consecutive five-zone region-days, tightening 44.3 to 27.5 km, inside a four-month campaign."
